ATLH302	... Ó Deus do Vulcão, que mora no Monte Acidófilo...
ATLH303	... Aceitai este sacrifício que oferecemos...
ATLH304	... na forma de carne com alto teor de fibras e celulose integral...
ATLH305	... sem gordura nem ácidos transgraxos...
ATLH306	... para vos alimentar e obter vossa proteção para nossa humilde aldeia...
ATLH307	... sem perturbar nem irritar vossa Cratera Ulcerativa...
ATLH308	Pronto, rapazes... podem jogar!
ATLH309	À nossa fantástica platéia, boa noite e obrigado!
ATLH310	Imbecil! Você deu queijo a um deus do vulcão que é sensível a lactose!
ATLH311	Sabe o que isso significa? Você acabou de provocar a Erupção da Disenteria Divina!
ATLH312	Salve-se quem puder!
ATGT313	Uau! Foi mais espetacular do que eu esperava!
ATLH314	Ei!
ATLH315	Saia daqui!
ATLH316	Você vai estragar a cerimônia!
ATGT317	Vocês alimentam o vulcão com bonecos de verdura?
ATLH318	Exato.
ATLH319	Sherman não é um vegetariano radical...
ATLH320	... mas comidas gordurosas o deixam indisposto.
ATGT321	Belo dia para um sacrifício.
ATLH322	Apenas um por dia. Sherman não pode comer demais.
ATNZ323	sacrifício
ATNZ324	grande cratera fervente
ATGT325	Borbulhante.
ATGT326	Eu perderia a mão nisso aí!
ATGT327	Salve, salve, deus do vulcão!
ATGT328	Não seria um sacrifício adequado.
ATNZ329	grande cratera fervente
ATNZ330	Lemonhead
ATGT331	É o chefe dos canibais.
ATGT332	Não é ELE que eu quero jogar no vulcão.
AGSO301	Saia da frente ou vou derrubá-lo!
AGSO302	Olá, vizinho! Tem algum diamante?
AGSO303	Bom... ahn... onde está esse enorme diamante que vocês deveriam ter?
AGSO304	Boa tarde. Sou o novo inspetor de diamantes da Ilha da Caveira...
AGSO305	Tenho TANTO dinheiro que quase fico sem jeito.
AGSO306	Ops! Caverna errada. Desculpe.
AGCR307	Grrr...
AGGT308	Bem... vou derrubá-lo mostrando como sou educado e compreensivo.
AGKA309	Parece que temos um visitante indesejável, Cruff. Dê um jeito nele.
AGGT310	Droga! Vou tentar outra vez.
AGGT311	Você acredita se eu disser que acabou?
AGKA312	Vá embora.
AGGT313	Droga! Vou tentar outra vez.
AGCR314	Grrr...
AGKA315	Pegue, Cruff!
AGGT316	Droga! Vou tentar outra vez.
AGGT317	Vou ter que examinar todos os seus diamantes. Um por um.
AGGT318	Vamos, gente! Depressa! Não tenho o dia inteiro!
AGKA319	Não gosto desse sujeito. Mate-o!
AGGT320	Droga! Vou tentar outra vez.
AGKA321	Bem... olá! Vamos conversar, Sr... ahn...?
AGSO322	Threepwood. Guybrush Threepwood.
AGSO323	LeChuck. Pirata Zumbi LeChuck.
AGSO324	Boncaldo. Chop-Suey Boncaldo.
AGSO325	Loogie. Capitão Loogie.
AGSO326	VanGoughderfassenson. Jethro VanGoughderfassenson.
AGSO327	Tito. Só Tito.
AGKA328	Muito bem, Senhor Threepwood... 
AGGT329	Ei! Como é que você sabe meu...
AGKA330	É do meu INTERESSE saber quem entra e quem sai da Ilha da Caveira.
AGKA331	Sou o Rei André e este é meu assistente, Cruff.
AGKA332	Está procurando alguma coisa específica?
AGGT333	O diamante da família Boncaldo.
AGGT334	LeChuck o roubou, você o comprou e eu o quero. Agora.
AGCR335	Grrr...
AGGT336	Por favor.
AGGT337	Senhor.
AGKA338	Mas temos tantos produtos bons aqui no Clube dos Piratas!
AGCR339	Nossos preços estão cada dia mais baixos.
AGKA340	Tudo que um pirata - ou futuro pirata - possa querer nós temos aqui...
AGKA341	... pelo preço justo.
AGKA342	RÁ RÁ RÁ RÁ RÁ RÁ RÁ RÁ RÁ RÁ RÁ RÁ RÁ RÁ RÁ!
AGSO343	Não entendi.
AGSO344	Você poderia não rir mais desse jeito?
AGSO345	Você é uma pessoa tão estranha.
AGSO346	Está deixando de lado a questão do diamante.
AGKA347	O diamante Boncaldo é a peça principal da minha coleção...
AGKA348	... a fantástica energia que ele emite é o segredo da minha força!
AGGT349	Então, pode dá-lo para mim?
AGKA350	É claro que não... a menos que possa me dar algo em troca.
AGSO351	Você espera que eu fale?
AGSO352	Seu plano maligno não vai dar certo, André!
AGSO353	Você é louco!
AGSO354	O lugar do diamante é no museu!
AGSO355	Talvez possamos fazer um acordo.
AGSO356	Posso dar só uma olhada por aí.
AGGT357	Posso dar só uma olhada por aí.
AGKA358	Não, Sr. Threepwood! Espero que você compre!
AGKA359	Mas ele é perfeito!
AGKA360	Uma série de bombas cuidadosamente posicionadas pela Ilha do Sangue...
AGKA361	... todas controladas por uma rede de satélites numa órbita geossincrônica...
AGKA362	... e um único homem tem acesso ao detonador.
AGCR363	Ahn, chefe?
AGKA364	Eu sou esse homem, Threepwood, e...
AGCR365	Chefe?
AGKA366	Pois não, Sr. Cruff?
AGCR367	Sem-tai e málu jo-gai.
AGKA368	Ah, sim... claro.
AGKA369	E eu sou louco? Sou?
AGKA370	RÁ RÁ RÁ RÁ RÁ RÁ RÁ RÁ RÁ RÁ RÁ RÁ RÁ RÁ RÁ!
AGKA371	É loucura ficar sentado numa gruta no alto de uma ilha deserta...
AGKA372	... acumulando enormes quantidades de ouro, jóias e bichos empalhados...
AGKA373	... empilhando saques de todo o Caribe e então repassar os lucros para você?
AGKA374	Isso é ser louco? Ou GÊNIO?!?
AGGT375	Boa pergunta. Retiro o que disse.
AGKA376	Eu não sou louco - meus preços é que são!
